Plot,Stand
YC20:2193,17
YC20:2194,22
YC20:2195,11
YC20:2196,24
YC20:2197,19
YC20:2198,24
YC20:2199,21
YC20:2200,24
YC20:2201,18
YC20:2202,15
YC20:2203,20
YC20:2204,17
YC20:2205,15
YC20:2206,22
YC20:2207,15
YC20:2208,20
YC20:2209,20
YC20:2210,17
YC20:2211,13
YC20:2212,12
YC20:2213,20
YC20:2214,21
YC20:2215,20
YC20:2216,19
YC20:2217,10
YC20:2218,18
YC20:2219,17
YC20:2220,22
YC20:2221,21
YC20:2222,11
YC20:2223,16
YC20:2224,21
YC20:2225,22
YC20:2226,25
YC20:2227,20
YC20:2228,17
YC20:2229,6
YC20:2230,23
YC20:2231,9
YC20:2232,13
YC20:2233,20
YC20:2234,15
YC20:2235,17
YC20:2236,21
YC20:2237,17
YC20:2238,13
YC20:2239,18
YC20:2240,17
YC20:2241,23
YC20:2242,18
YC20:2243,17
YC20:2244,20
YC20:2245,20
YC20:2246,25
YC20:2247,21
YC20:2248,22
YC20:2249,23
YC20:2250,25
YC20:2251,13
YC20:2252,13
YC20:2253,16
YC20:2254,25
YC20:2255,7
YC20:2256,24
YC20:2257,21
YC20:2258,21
YC20:2259,22
YC20:2260,4
YC20:2261,13
YC20:2262,16
YC20:2263,19
YC20:2264,21
YC20:2265,16
YC20:2266,21
YC20:2267,16
YC20:2268,14
YC20:2269,22
YC20:2270,18
YC20:2271,1
YC20:2272,20
YC20:2273,14
YC20:2274,7
YC20:2275,17
YC20:2276,23
YC20:2277,3
YC20:2278,6
YC20:2279,20
YC20:2280,18
YC20:2281,1
YC20:2282,18
YC20:2283,21
YC20:2284,7
YC20:2285,19
YC20:2286,24
YC20:2287,21
YC20:2288,3
YC20:2289,17
YC20:2290,0
YC20:2291,17
YC20:2292,12
YC20:2293,21
YC20:2294,10
YC20:2295,20
YC20:2296,17
YC20:2297,23
YC20:2298,21
YC20:2299,25
YC20:2300,6
YC20:2301,22
YC20:2302,20
YC20:2303,11
YC20:2304,21
YC20:2305,23
YC20:2306,19
YC20:2307,15
YC20:2308,19
YC20:2309,17
YC20:2310,14
YC20:2311,19
YC20:2312,20
YC20:2313,11
YC20:2314,11
YC20:2315,18
YC20:2316,21
YC20:2317,4
YC20:2318,20
YC20:2319,21
YC20:2320,2
YC20:2321,12
YC20:2322,21
YC20:2323,2
YC20:2324,14
YC20:2325,19
YC20:2326,0
YC20:2327,19
YC20:2328,32
YC20:2329,18
YC20:2330,15
YC20:2331,16
YC20:2332,19
YC20:2333,0
YC20:2334,11
YC20:2335,18
YC20:2336,7
YC20:2337,23
YC20:2338,5
YC20:2339,22
YC20:2340,20
YC20:2341,19
YC20:2342,6
YC20:2343,5
YC20:2344,21
YC20:2345,17
YC20:2346,6
YC20:2347,23
YC20:2348,0
YC20:2349,21
YC20:2350,8
YC20:2351,14
YC20:2352,17
YC20:2353,12
YC20:2354,21
YC20:2355,12
YC20:2356,13
YC20:2357,2
YC20:2358,22
YC20:2359,15
YC20:2360,16
YC20:2361,19
YC20:2362,20
YC20:2363,7
YC20:2364,21
YC20:2365,9
YC20:2366,18
YC20:2367,7
YC20:2368,13
YC20:2369,2
YC20:2370,18
YC20:2371,12
YC20:2372,24
YC20:2373,12
YC20:2374,13
YC20:2375,12
YC20:2376,14
YC20:2377,15
YC20:2378,22
YC20:2379,22
YC20:2380,19
YC20:2381,24
YC20:2382,9
YC20:2383,18
YC20:2384,14
YC20:2385,10
YC20:2386,9
YC20:2387,24
YC20:2388,20
YC20:2389,22
YC20:2390,13
YC20:2391,17
YC20:2392,25
YC20:2393,18
YC20:2394,14
YC20:2395,7
YC20:2396,4
YC20:2397,2
YC20:2398,6
YC20:2399,13
YC20:2400,22
YC20:2401,20
YC20:2402,3
YC20:2403,11
YC20:2404,21
YC20:2405,5
YC20:2406,15
YC20:2407,21
YC20:2408,11
YC20:2409,24
YC20:2410,17
YC20:2411,21
YC20:2412,3
YC20:2413,13
YC20:2414,17
YC20:2415,16
YC20:2416,10
YC20:2417,9
YC20:2418,17
YC20:2419,9
YC20:2420,18
YC20:2421,13
YC20:2422,1
YC20:2423,11
YC20:2424,19
YC20:2425,22
YC20:2426,12
YC20:2427,24
YC20:2428,15
YC20:2429,22
YC20:2430,16
YC20:2431,21
YC20:2432,5
YC20:2433,22
YC20:2434,4
YC20:2435,7
YC20:2436,16
YC20:2437,22
YC20:2438,7
YC20:2439,24
YC20:2440,11
YC20:2441,3
YC20:2442,0
YC20:2443,13
YC20:2444,22
YC20:2445,20
YC20:2446,18
YC20:2447,24
YC20:2448,23
YC20:2449,18
YC20:2450,6
YC20:2451,17
YC20:2452,10
YC20:2453,17
YC20:2454,8
YC20:2455,7
YC20:2456,18
YC20:2457,18
YC20:2458,16
YC20:2459,24
