Plot,Weeds
YC20:2215,Yes
YC20:2216,Yes
YC20:2217,Yes
YC20:2218,Yes
YC20:2219,Yes
YC20:2220,No
YC20:2221,Yes
YC20:2222,Yes
YC20:2223,No
YC20:2224,No
YC20:2225,No
YC20:2226,Yes
YC20:2227,Yes
YC20:2228,Yes
YC20:2229,Yes
YC20:2230,Yes
YC20:2231,Yes
YC20:2232,Yes
YC20:2233,Yes
YC20:2234,Yes
YC20:2235,Yes
YC20:2236,Yes
YC20:2237,Yes
YC20:2238,Yes
YC20:2239,Yes
YC20:2240,Yes
YC20:2241,Yes
YC20:2242,No
YC20:2243,No
YC20:2244,No
YC20:2245,No
YC20:2246,No
YC20:2247,No
YC20:2248,No
YC20:2249,No
YC20:2250,No
YC20:2251,No
YC20:2252,No
YC20:2253,No
YC20:2254,Yes
YC20:2255,Yes
YC20:2256,Yes
YC20:2257,No
YC20:2258,No
YC20:2259,Yes
YC20:2260,Yes
YC20:2261,Yes
YC20:2262,Yes
YC20:2263,Yes
YC20:2264,Yes
YC20:2265,Yes
YC20:2266,Yes
YC20:2267,Yes
YC20:2268,Yes
YC20:2269,No
YC20:2270,No
YC20:2271,No
YC20:2272,Yes
YC20:2273,Yes
YC20:2274,No
YC20:2275,Yes
YC20:2276,Yes
YC20:2277,Yes
YC20:2278,Yes
YC20:2279,Yes
YC20:2280,Yes
YC20:2281,Yes
YC20:2282,Yes
YC20:2283,Yes
YC20:2284,Yes
YC20:2285,Yes
YC20:2286,Yes
YC20:2287,Yes
YC20:2288,Yes
YC20:2289,Yes
YC20:2290,Yes
YC20:2291,Yes
YC20:2292,Yes
YC20:2293,Yes
YC20:2294,Yes
YC20:2295,Yes
YC20:2296,Yes
YC20:2297,Yes
YC20:2298,Yes
YC20:2299,No
YC20:2300,No
YC20:2301,No
YC20:2302,No
YC20:2303,No
YC20:2304,No
YC20:2305,No
YC20:2306,No
YC20:2307,No
YC20:2308,Yes
YC20:2309,No
YC20:2310,No
YC20:2311,No
YC20:2312,No
YC20:2313,Yes
YC20:2314,Yes
YC20:2315,Yes
YC20:2316,No
YC20:2317,No
YC20:2318,No
YC20:2319,No
YC20:2320,No
YC20:2321,No
YC20:2322,No
YC20:2323,No
YC20:2324,No
YC20:2325,Yes
YC20:2326,Yes
YC20:2327,Yes
YC20:2328,Yes
YC20:2329,No
YC20:2330,No
YC20:2331,No
YC20:2332,No
YC20:2333,No
YC20:2334,No
YC20:2335,No
YC20:2336,No
YC20:2337,No
YC20:2338,Yes
YC20:2339,Yes
YC20:2340,Yes
YC20:2341,No
YC20:2342,No
YC20:2343,No
YC20:2344,No
YC20:2345,No
YC20:2346,No
YC20:2347,No
YC20:2348,No
YC20:2349,No
YC20:2350,No
YC20:2351,No
YC20:2352,No
YC20:2353,No
YC20:2354,No
YC20:2355,No
YC20:2356,No
YC20:2357,No
YC20:2358,No
YC20:2359,No
YC20:2360,No
YC20:2361,No
YC20:2362,No
YC20:2363,No
YC20:2364,No
YC20:2365,No
YC20:2366,No
YC20:2367,No
YC20:2368,No
YC20:2369,No
YC20:2370,No
YC20:2371,No
YC20:2372,No
YC20:2373,No
YC20:2374,Yes
YC20:2375,Yes
YC20:2376,Yes
YC20:2377,Yes
YC20:2378,No
YC20:2379,No
YC20:2380,No
YC20:2381,No
YC20:2382,No
YC20:2383,No
YC20:2384,No
YC20:2385,No
YC20:2386,No
YC20:2387,No
YC20:2388,No
YC20:2389,No
YC20:2390,No
YC20:2391,No
YC20:2392,No
YC20:2393,No
YC20:2394,No
YC20:2395,No
YC20:2396,No
YC20:2397,No
YC20:2398,No
YC20:2399,No
YC20:2400,No
YC20:2401,No
YC20:2402,No
YC20:2403,No
YC20:2404,No
YC20:2405,No
YC20:2406,No
YC20:2407,No
YC20:2408,No
YC20:2409,Yes
YC20:2410,Yes
YC20:2411,Yes
YC20:2412,No
YC20:2413,No
YC20:2414,No
YC20:2415,No
YC20:2416,No
YC20:2417,No
YC20:2418,No
YC20:2419,No
YC20:2420,No
YC20:2421,No
YC20:2422,No
YC20:2423,No
YC20:2424,Yes
YC20:2425,Yes
YC20:2426,No
YC20:2427,No
YC20:2428,No
YC20:2429,No
YC20:2430,No
YC20:2431,No
YC20:2432,No
YC20:2433,No
YC20:2434,No
YC20:2435,No
YC20:2436,No
YC20:2437,No
YC20:2438,No
YC20:2439,No
YC20:2440,No
YC20:2441,No
YC20:2442,No
YC20:2443,No
YC20:2444,No
YC20:2445,No
YC20:2446,No
YC20:2447,Yes
YC20:2448,Yes
YC20:2449,Yes
YC20:2450,No
YC20:2451,No
YC20:2452,No
YC20:2453,No
YC20:2454,No
YC20:2455,No
YC20:2456,No
YC20:2457,No
YC20:2458,No
YC20:2459,No
YC20:2460,No
YC20:2461,No
YC20:2462,No
YC20:2463,No
YC20:2464,No
YC20:2465,No
YC20:2466,No
YC20:2467,No
YC20:2468,No
YC20:2469,No
YC20:2470,No
YC20:2471,No
YC20:2472,No
YC20:2473,No
YC20:2474,No
YC20:2475,No
YC20:2476,No
YC20:2477,No
YC20:2478,No
YC20:2479,No
YC20:2480,No
YC20:2481,No
YC20:2482,No
YC20:2483,No
YC20:2484,No
YC20:2485,No
YC20:2486,No
YC20:2487,No
YC20:2488,No
YC20:2489,No
YC20:2490,No
YC20:2491,No
YC20:2492,No
YC20:2493,No
YC20:2494,No
YC20:2495,No
YC20:2496,No
YC20:2497,No
YC20:2498,No
YC20:2499,No
YC20:2500,No
YC20:2501,No
YC20:2502,No
YC20:2503,No
YC20:2504,No
YC20:2505,No
YC20:2506,No
YC20:2507,No
YC20:2508,No
YC20:2509,No
YC20:2510,No
YC20:2511,No
YC20:2512,No
YC20:2513,No
YC20:2514,No
YC20:2515,No
YC20:2516,No
YC20:2517,No
YC20:2518,No
YC20:2519,No
YC20:2520,No
