Fields,BoundingBox,X,Y,left,top,right,bottom,id
61,"[-93.1753552038582,44.9929418883939;-93.1752802038582,44.9929478883939]","[-93.1753552038582,-93.1752802038582,-93.1752802038582,-93.1753552038582,-93.1753552038582,NaN]","[44.9929478883939,44.9929478883939,44.9929418883939,44.9929418883939,44.9929478883939,NaN]",76,-93.17545154,44.99297467,-93.17537654,44.99296867
62,"[-93.1753500076264,44.9929352262222;-93.1752750076264,44.9929412262222]","[-93.1753500076264,-93.1752750076264,-93.1752750076264,-93.1753500076264,-93.1753500076264,NaN]","[44.9929412262222,44.9929412262222,44.9929352262222,44.9929352262222,44.9929412262222,NaN]",77,-93.17545154,44.99296867,-93.17537654,44.99296267
63,"[-93.1753501938376,44.9929288259916;-93.1752751938376,44.9929348259916]","[-93.1753501938376,-93.1752751938376,-93.1752751938376,-93.1753501938376,-93.1753501938376,NaN]","[44.9929348259916,44.9929348259916,44.9929288259916,44.9929288259916,44.9929348259916,NaN]",78,-93.17545154,44.99296267,-93.17537654,44.99295667
64,"[-93.1753500097184,44.9929225767845;-93.1752750097184,44.9929285767845]","[-93.1753500097184,-93.1752750097184,-93.1752750097184,-93.1753500097184,-93.1753500097184,NaN]","[44.9929285767845,44.9929285767845,44.9929225767845,44.9929225767845,44.9929285767845,NaN]",79,-93.17545154,44.99295667,-93.17537654,44.99295067
65,"[-93.1753513813781,44.9929164110841;-93.1752763813781,44.9929224110841]","[-93.1753513813781,-93.1752763813781,-93.1752763813781,-93.1753513813781,-93.1753513813781,NaN]","[44.9929224110841,44.9929224110841,44.9929164110841,44.9929164110841,44.9929224110841,NaN]",80,-93.17545154,44.99295067,-93.17537654,44.99294467
66,"[-93.1753517087237,44.9929094778318;-93.1752767087237,44.9929154778318]","[-93.1753517087237,-93.1752767087237,-93.1752767087237,-93.1753517087237,-93.1753517087237,NaN]","[44.9929154778318,44.9929154778318,44.9929094778318,44.9929094778318,44.9929154778318,NaN]",81,-93.17545154,44.99294467,-93.17537654,44.99293867
67,"[-93.1753505574644,44.9929013784008;-93.1752755574645,44.9929073784008]","[-93.1753505574644,-93.1752755574645,-93.1752755574645,-93.1753505574644,-93.1753505574644,NaN]","[44.9929073784008,44.9929073784008,44.9929013784008,44.9929013784008,44.9929073784008,NaN]",82,-93.17545154,44.99293867,-93.17537654,44.99293267
68,"[-93.1753516918223,44.9928949454107;-93.1752766918223,44.9929009454107]","[-93.1753516918223,-93.1752766918223,-93.1752766918223,-93.1753516918223,-93.1753516918223,NaN]","[44.9929009454107,44.9929009454107,44.9928949454107,44.9928949454107,44.9929009454107,NaN]",83,-93.17545154,44.99293267,-93.17537654,44.99292667
69,"[-93.1753507690687,44.9928884597206;-93.1752757690687,44.9928944597206]","[-93.1753507690687,-93.1752757690687,-93.1752757690687,-93.1753507690687,-93.1753507690687,NaN]","[44.9928944597206,44.9928944597206,44.9928884597206,44.9928884597206,44.9928944597206,NaN]",84,-93.17545154,44.99292667,-93.17537654,44.99292067
70,"[-93.1753503355486,44.9928819247352;-93.1752753355486,44.9928879247352]","[-93.1753503355486,-93.1752753355486,-93.1752753355486,-93.1753503355486,-93.1753503355486,NaN]","[44.9928879247352,44.9928879247352,44.9928819247352,44.9928819247352,44.9928879247352,NaN]",85,-93.17545154,44.99292067,-93.17537654,44.99291467
