Plot,Stand
YC19:2416,20
YC19:2417,24
YC19:2418,24
YC19:2419,22
YC19:2420,27
YC19:2421,16
YC19:2422,22
YC19:2423,25
YC19:2424,20
YC19:2425,20
YC19:2426,27
YC19:2427,22
YC19:2428,26
YC19:2429,22
YC19:2430,19
YC19:2431,22
YC19:2432,21
YC19:2433,17
YC19:2434,21
YC19:2435,24
YC19:2436,20
YC19:2437,6
YC19:2438,25
YC19:2439,24
YC19:2440,27
YC19:2441,18
YC19:2442,16
YC19:2443,15
YC19:2444,25
YC19:2445,17
YC19:2446,25
YC19:2447,25
YC19:2448,19
YC19:2449,24
YC19:2450,25
YC19:2451,24
YC19:2452,20
YC19:2453,3
YC19:2454,0
YC19:2455,25
YC19:2456,23
YC19:2457,18
YC19:2458,26
YC19:2459,23
YC19:2460,7
YC19:2461,16
YC19:2462,21
YC19:2463,20
YC19:2464,23
YC19:2465,12
YC19:2466,23
YC19:2467,26
YC19:2468,13
YC19:2469,23
YC19:2470,26
YC19:2471,25
YC19:2472,22
YC19:2473,26
YC19:2474,21
YC19:2475,25
YC19:2476,23
YC19:2477,26
YC19:2478,24
YC19:2479,18
YC19:2480,23
YC19:2481,25
YC19:2482,26
YC19:2483,26
YC19:2484,21
YC19:2485,24
YC19:2486,25
YC19:2487,18
YC19:2488,22
YC19:2489,9
YC19:2490,16
YC19:2491,23
YC19:2492,22
YC19:2493,24
YC19:2494,25
YC19:2495,26
YC19:2496,21
YC19:2497,22
YC19:2498,20
YC19:2499,26
YC19:2500,15
YC19:2501,24
YC19:2502,24
YC19:2503,26
YC19:2504,20
YC19:2505,21
YC19:2506,24
YC19:2507,24
YC19:2508,21
YC19:2509,24
YC19:2510,13
YC19:2511,20
YC19:2512,22
YC19:2513,16
YC19:2514,24
YC19:2515,19
YC19:2516,12
YC19:2517,13
YC19:2518,24
YC19:2519,22
YC19:2520,15
